,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
29,3.6800001,2.00031344,2.326786785,6.521871819,5.720299528,3.261952756,4.992160131,,,,,,,17.58,3.254963383,4.329453237,6.90236019,6.398022665,3.460998331,30,,,,,,,,,,,0.617,,,,,
30,3.6800001,2.052214504,2.409756048,6.405270578,5.633700578,3.178189789,4.961222021,,,,,,,3.6500001,2.19940504,2.785822953,6.619080393,5.832179831,3.083017725,31,,,,,,,,,,,0.658,,,,,
31,3.6800001,2.070384865,2.432675491,6.662018016,5.850231167,3.353512459,5.014391851,,,,,,,,,,,,,,,,,,,,,,,,0.373,,,,,
32,1.25,2.999966874,4.409983591,6.733892664,6.175184008,3.46317374,4.894649015,1.25,2.671368252,3.640279706,6.754011398,6.040158288,3.41745432,,,,,,,,,,,,,,,,,,,,,,,
33,1.25,3.109076873,4.56641569,6.777195405,6.250171432,3.473141184,5.02718817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.25,3.133066557,4.593380486,6.775491341,6.249317559,3.468344794,4.929492403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.25,2.597475232,3.544392237,6.789452157,5.983330444,3.379264755,4.966584562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.25,2.561014513,3.406738014,6.786431326,5.968172185,3.37048841,4.934698543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.25,2.117342481,2.443082529,6.644311214,5.757623439,3.382939331,4.923087881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.25,2.181635236,2.517965395,6.771305683,5.897308947,3.384828025,4.974576803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13.65,2.478618909,3.206811469,6.848794795,6.126711983,3.426527089,4.961046572,13.65,2.415140691,2.945810864,6.767460517,6.019209327,3.387524314,,,,,,,,,,,,,,,,,,,,,,,
40,13.65,2.481875694,2.881249259,6.859461297,6.079538485,3.429473727,4.970723705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,13.65,2.428455416,2.832948287,6.983830608,6.324038574,3.40735433,4.932146968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13.65,2.371457261,2.775357159,6.734732748,5.93333778,3.40044723,4.924949665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,13.65,2.230560258,2.634760567,6.319682797,5.606145358,3.215982144,4.938074859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,13.65,2.499876605,3.343738443,6.858260854,6.045483782,3.445361364,4.962359478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,24.450001,3.815955579,5.30186259,6.881431103,6.565626333,3.47018002,4.967639427,24.450001,3.140114835,4.111202469,6.881185929,6.348681554,3.454056358,,,,,,,,,,,,,,,,,,,,,,,
