,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
159,31.799999,3.260331026,4.137108848,6.694461092,6.164438425,3.471399709,4.888642431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,31.799999,3.006042071,3.700243481,6.818990255,6.180209729,3.468787936,4.882116164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,31.799999,2.94090187,4.263067245,6.82270769,6.174892078,3.467623199,4.918258714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,31.799999,2.593419168,2.982203313,6.938846213,6.162840775,3.463475588,4.961159994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,31.799999,2.539646516,2.907680362,6.906307091,6.117454058,3.452328639,4.917094385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,31.799999,2.4256783,2.755870493,6.826427178,6.01710843,3.475055634,4.92910289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,31.799999,2.455627424,2.815225728,6.830572807,5.996464908,3.464565582,4.968449096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,8.6499996,3.627907469,5.190611679,6.848019931,6.485619632,3.461885124,4.938696689,8.6499996,3.183991734,4.232237334,6.803846701,6.232007837,3.455706721,,,,,,,,,,,,,,,,,,,,,,,
167,8.6499996,3.584809493,5.28635551,6.888275183,6.446481781,3.466768422,4.88238108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,8.6499996,3.665981218,5.560708858,6.907450147,6.496800559,3.46292692,4.969798437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,8.6499996,3.710598394,5.03850149,6.761973623,6.437065169,3.464343392,4.919942289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,8.6499996,2.720323884,3.189707554,6.772387637,5.952888522,3.426003429,4.966916506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,8.6499996,2.704740063,3.183046338,6.721154525,5.928833366,3.454260765,4.927121441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,8.6499996,2.647467202,3.082794757,6.707571071,6.008076809,3.443707182,4.950497509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,8.6499996,2.81010615,3.326172484,6.823941492,6.100296857,3.465758533,4.953995312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,23.129999,3.745180148,5.334686628,6.98786867,6.582863429,3.468117864,4.918908423,23.129999,3.416897642,4.817259058,6.971421175,6.460004416,3.463570115,,,,,,,,,,,,,,,,,,,,,,,
175,23.129999,3.772968809,5.564890373,6.985342941,6.578902589,3.467856188,5.022930825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,23.129999,3.848153148,5.629775403,6.904391051,6.548060264,3.469995548,4.951416207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,23.129999,3.72631147,5.646177657,7.001984501,6.571436184,3.464917716,4.918264696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,23.129999,3.71923323,5.630069355,7.000086731,6.564320836,3.464995339,4.882107704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,23.129999,3.651791954,5.455396477,6.977615493,6.547383357,3.46787078,4.951742288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,23.129999,2.818005163,3.425505014,6.961525414,6.264869391,3.455755841,4.967563202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,23.129999,2.731725081,3.248374457,6.958382878,6.228688528,3.457713114,4.96922543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,23.129999,2.738709775,3.420456159,6.965592896,6.253515165,3.454908645,5.062951451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,3.3,2.403920408,2.826892536,6.472799641,5.783745646,3.46537011,4.909707596,3.3,2.42209814,2.936162469,6.71452346,5.932251295,3.290725829,,,,,,,,,,,,,,,,,,,,,,,
184,3.3,2.4310066,2.81129037,6.559900413,5.865334985,3.469597449,4.951363647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,3.3,3.30267114,4.931011091,6.886192204,6.365119491,3.468555568,4.993370906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,3.3,2.752451674,3.647232196,6.664963486,6.053205941,3.46450834,4.931710566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,3.3,2.05984333,2.276394968,6.609267646,5.687713291,3.350441995,4.935654589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,3.3,2.215794012,2.412549162,6.93134537,6.021050861,3.399177635,4.953550758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,3.3,2.110392475,2.299569847,6.772128058,5.811776944,3.380050118,5.010998684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,3.3,2.100705478,2.284359582,6.819590863,5.870063198,2.328105415,3.44418175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,13.25,2.900118111,3.586595468,6.715490638,6.08221625,3.468567202,4.842046882,13.25,2.808461622,3.456568029,6.723044548,6.057546853,3.448823083,,,,,,,,,,,,,,,,,,,,,,,
192,13.25,2.883100552,3.573946632,6.745730443,6.122228204,3.467296941,4.9454213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,13.25,3.020729846,3.81303161,6.699553568,6.164788363,3.465770637,4.94869778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,13.25,2.931539669,3.673413624,6.657523408,6.079462822,3.4621085,4.966137995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,13.25,2.485353466,3.00997579,6.627378288,5.860126489,3.415572745,4.974843875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,13.25,2.673807185,3.185533225,6.824088533,6.056020671,3.436401812,4.921583243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,13.25,2.764582527,3.353479853,6.79154696,6.037985172,3.426043745,4.940623134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,4.8800001,3.304421819,4.325088951,6.635989259,6.218756634,3.461913301,4.974438962,4.8800001,2.930879983,3.926232188,6.829625016,6.234356804,3.448606853,,,,,,,,,,,,,,,,,,,,,,,
199,4.8800001,3.625922775,5.398353728,6.914701521,6.49305818,3.467509013,4.880497456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4.8800001,3.565841565,4.770014109,6.763063098,6.437273599,3.465162753,4.926101059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,4.8800001,3.406482539,5.130818059,6.948521719,6.465813485,3.462513569,4.931022076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4.8800001,3.353692195,4.544803092,6.741644367,6.335234693,3.46640878,5.052578843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,4.8800001,2.065657798,2.254910073,6.859092104,6.002638457,3.437590928,4.964848052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,4.8800001,2.385491565,2.964725638,6.882406368,6.127790357,3.432251119,4.918343314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4.8800001,2.269902684,2.792085427,6.840954376,5.992307883,3.42540632,4.999537315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4.8800001,2.400506911,3.155290617,6.880252336,6.036337945,3.418705893,4.982303572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,17.58,2.749216177,3.739109888,6.971409719,6.20073878,3.450064888,4.98190851,17.58,3.254963383,4.329453237,6.90236019,6.398022665,3.460998331,,,,,,,,,,,,,,,,,,,,,,,
208,17.58,3.799184293,5.300234946,6.88277578,6.580145048,3.461790936,4.936462477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,17.58,3.6298785,5.177456136,6.90162407,6.526807896,3.463756993,4.911422308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,17.58,3.60644975,4.872900994,6.83971316,6.495134181,3.460928861,4.957260207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,17.58,3.534720707,4.714430331,6.876235345,6.517423238,3.464354759,5.040223706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,17.58,3.546024904,4.729715628,6.808301547,6.433675556,3.464817721,4.904340678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,17.58,3.537313712,4.748070245,6.806178533,6.485201444,3.464953189,4.880683014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,17.58,2.64172241,3.141828271,6.974131404,6.206739752,3.462557597,5.008563244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,17.58,2.769451822,3.622737495,6.993203225,6.312095212,3.457115587,4.996872728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,17.58,2.735671553,3.248048435,6.970029116,6.222265546,3.459642782,4.994775991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,3.6500001,2.750656556,3.38426937,6.616633494,6.049815656,3.466558774,4.842570483,3.6500001,2.19940504,2.785822953,6.619080393,5.832179831,3.083017725,,,,,,,,,,,,,,,,,,,,,,,
218,3.6500001,2.61508856,3.716879255,6.667223241,5.98329317,3.46243496,4.96966984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3.6500001,2.598257541,3.608055458,6.668023335,5.993199417,3.458930036,4.887999025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,3.6500001,2.572935345,3.618564638,6.644913889,5.949378641,3.463281793,4.952610439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,3.6500001,1.717355284,1.973452815,6.246056647,5.473782119,3.013421359,4.903853139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,3.6500001,1.473726786,1.721560955,6.327759197,5.415848764,2.956739646,4.981943453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,3.6500001,2.014192303,2.240687107,6.748152937,5.839897077,3.380517408,4.958828902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,3.6500001,1.963921886,2.485004226,6.838679218,5.886779187,3.40511496,4.907722165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,3.6500001,2.088511102,2.323932756,6.81428158,5.897624444,1.140160587,1.665564969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
